state_cL,ftype_cL,fsource_cL,fsink_cL,cL,exmL,state_exmL,ftype_exmL,fsource_exmL,fsink_exmL,c,exm,empty
UT,Internal Transfer,Zone Surface Water,Zone Land System,Municipal and Industrial Diversions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDiversions-UT,NA,NA
UT,Internal Transfer,Zone Groundwater,Zone Land System,Municipal and Industrial Diversions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDiversions-UT,NA,NA
UT,NA,NA,NA,STATSGO Soils Data,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#STATSGOSoilsData,NA,NA
NM,NA,NA,NA,Personal Outreach,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#PersonalOutreach,NA,NA
NM,NA,NA,NA,Commercial: Unmetered-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Commercial%3AUnmetered-NMOSE,NA,NA
WY,NA,NA,NA,Crop Type,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#CropType,NA,NA
WY,NA,NA,NA,Downstream Flow,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#DownstreamFlow,NA,NA
WY,Internal Transfer,Zone Surface Water,Zone Land System,Total Diversions-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#TotalDiversions-WY,NA,NA
NM,NA,NA,NA,Land Surface Stock-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#LandSurfaceStock-NM,NA,NA
CO,NA,NA,NA,Daily Effective Precipitation,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#DailyEffectivePrecipitation,NA,NA
NM,NA,NA,NA,Reservoir Surface Area,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ReservoirSurfaceArea,NA,NA
UT,NA,NA,NA,Soil Moisture Holding Capacity,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#SoilMoistureHoldingCapacity,NA,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Surface Water Diversions-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#SurfaceWaterDiversions-NM,NA,NA
WY,NA,NA,NA,Withdrawal Method,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#WithdrawalMethod,NA,NA
NM,NA,NA,NA,Withdrawal Method,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#WithdrawalMethod,NA,NA
WY,NA,NA,NA,Bear River,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#BearRiver,NA,NA
CA,Inflow,Atmosphere,Zone Surface Water,Precipitation on Lakes-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#PrecipitationOnLakes-CA,NA,NA
WY,NA,NA,NA,Gross Pan Evaportation (inches),NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#GrossPanEvaportation%28inches%29,NA,NA
CA,NA,NA,NA,Total Surface Water Outflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterOutflow-CA,NA,NA
