state_cL,ftype_cL,fsource_cL,fsink_cL,cL,pscL,state_pscL,ftype_pscL,fsource_pscL,fsink_pscL,c,psc,empty
CO,NA,NA,NA,Direct Flow Demand - Monthly,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DirectFlowDemand-Monthly,NA,NA
CO,NA,NA,NA,Instream Flow Demand - Annual,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/InstreamFlowDemand-Annual,NA,NA
CO,NA,NA,NA,Instream Flow Demand-Monthly,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/InstreamFlowDemand-Monthly,NA,NA
CA,Outflow,Zone Surface Water,Atmosphere,Conveyance Evaporation-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ConveyanceEvaporation-CA,NA,NA
CA,Internal Transfer,Zone Surface Water,Zone Groundwater,Conveyance Seepage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ConveyanceSeepage-CA,NA,NA
CA,Inflow,NA,NA,Total Groundwater System Inflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalGroundwaterSystemInflow-CA,NA,NA
UT,Inflow,Atmosphere,Zone Land System,Cropland Precipitation-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/CoplandPrecipitation-UT,NA,NA
CA,Inflow,Atmosphere,Zone Land System,Precipitation-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Precipitation-CA,NA,NA
NM,Inflow,Atmosphere,Zone Land System,Precipitation-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Precipitation-NM,NA,NA
WY,NA,NA,NA,Daily ASCE Standardized Penman-Monteith,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyASCEStandardizedPenman-Monteith,NA,NA
CO,NA,NA,NA,Daily ASCE Standardized Penman-Monteith,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyASCEStandardizedPenman-Monteith,NA,NA
UT,NA,NA,NA,Elevation-Area-Capacity Tables,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Elevation-Area-CapacityTables,NA,NA
NM,Outflow,Zone Land System,Atmosphere,Evaporation-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Evaporation-NM,NA,NA
CO,Outflow,Zone Surface Water,Atmosphere,Reservoir Evaporation-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ReservoirEvaporation-CO,NA,NA
UT,Outflow,Zone Surface Water,Atmosphere,Reservoir Evaporation-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ReservoirEvaporation-UT,NA,NA
CA,NA,NA,NA,Total Land System Outflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalLandSystemOutflow-CA,NA,NA
CA,NA,NA,NA,Total Inflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalInflow-CA,NA,NA
CA,NA,NA,NA,Total Outflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalOutflow-CA,NA,NA
CO,Inflow,External Groundwater,Zone Groundwater,Ground Water Inflow-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/GroundWaterInflow-CO,NA,NA
