dsL,pL,emL,cL
New Mexico Department of Agriculture,Livestock Population,NM Withdrawal Method,Irrigated Agriculture Diversions-NMOSE
State Agricultural Statistics,Livestock Count,CO Livestock Method,Livestock Consumptive Use-CO
Midwest Plan Service Structures and Environmental Handbook 1977,Average Use Rate,CO Livestock Method,Livestock Consumptive Use-CO
NA,NA,NA,Commercial: Incomplete Metered-NMOSE
NA,NA,NA,Municipal and Industrial Depeltion-UT
NA,NA,NA,Agricultural and Municipal Depletions-UT
Colorado Water Conservation Board (CWCB),Diversions,Historical Data,Exports-CO
Historical Diversions File,Diversions,Historical Data,Exports-CO
NA,NA,NA,Groundwater Use-UT
NA,NA,NA,Imports-CO
NA,NA,NA,Agricultural Potential Consumptive Use-UT
CO GIS Exercise,Surface Area of Reservoir,Reservoir Estimation Method,Reservoir Evaporation-CO
National Oceanic and Atmospheric Administration Stations,Monthly Effective Precipitation,Reservoir Estimation Method,Reservoir Evaporation-CO
CO Agricultural Meteorology Network Station (COAGM),Monthly Effective Precipitation,Reservoir Estimation Method,Reservoir Evaporation-CO
NOAA Technical Report NWS 33,Gross Monthly Free Water Surface Evaporation,Reservoir Estimation Method,Reservoir Evaporation-CO
NA,NA,NA,Precipitation-CO
NA,NA,NA,Commercial: Metered-NMOSE
NA,NA,NA,Basin Outflow-UT
NA,NA,NA,Gaged Surface Water Outflow-CO
NA,NA,NA,Precipitation-UT
NA,NA,NA,Cropland Precipitation-UT
NA,NA,NA,Public Water Supply-NMOSE
NA,NA,NA,Surface Water Flows-UT
NA,NA,NA,Livestock Consumptive Use-WY
NA,NA,NA,Irrigation Surface Water Diversions-WY
NA,NA,NA,Power-NMOSE
Unknown,Native Vegetation Coefficient,CO Native Vegetation Method,Native Vegetation Consumptive Use-CO
Colorado Water Conservation Board (CWCB),Diversions,CO Native Vegetation Method,Native Vegetation Consumptive Use-CO
Historical Diversions File,Diversions,CO Native Vegetation Method,Native Vegetation Consumptive Use-CO
NA,NA,NA,Ground Water Inflow-CO
NA,NA,NA,Crop Consumptive Use-WY
NA,NA,NA,Industrial-NMOSE
NM Office of the State Engineer (NMOSE),Gallons Per Capita Per Day (GPCD),NM Withdrawal Method,Self-Supplied Domestic-NMOSE
Brown and Caldwell1984,Gallons Per Capita Per Day (GPCD),NM Withdrawal Method,Self-Supplied Domestic-NMOSE
NMOSE Technical Report No. 48,Gallons Per Capita Per Day (GPCD),NM Withdrawal Method,Self-Supplied Domestic-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Self Supplied Domestic Population,NM Withdrawal Method,Self-Supplied Domestic-NMOSE
New Mexico Environment Department (NMED),Self Supplied Domestic Population,NM Withdrawal Method,Self-Supplied Domestic-NMOSE
US Census Bureau,Self Supplied Domestic Population,NM Withdrawal Method,Self-Supplied Domestic-NMOSE
Population Served by Public Water Supply,Self Supplied Domestic Population,NM Withdrawal Method,Self-Supplied Domestic-NMOSE
Military Base Population Data,Self Supplied Domestic Population,NM Withdrawal Method,Self-Supplied Domestic-NMOSE
GPS Population Data,Self Supplied Domestic Population,NM Withdrawal Method,Self-Supplied Domestic-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Population Served by Public Water Supply,NM Withdrawal Method,Self-Supplied Domestic-NMOSE
New Mexico Environment Department (NMED),Population Served by Public Water Supply,NM Withdrawal Method,Self-Supplied Domestic-NMOSE
US Census Bureau,Population Served by Public Water Supply,NM Withdrawal Method,Self-Supplied Domestic-NMOSE
Military Base Population Data,Population Served by Public Water Supply,NM Withdrawal Method,Self-Supplied Domestic-NMOSE
GPS Population Data,Population Served by Public Water Supply,NM Withdrawal Method,Self-Supplied Domestic-NMOSE
New Mexico Department of Agriculture,Livestock Population,NM Withdrawal Method,Self-Supplied Domestic-NMOSE
NA,NA,NA,Reservoir Evaporation-WY
NA,NA,NA,Municipal and Domestic Depletions-WY
NA,NA,NA,Gaged Stream Inflow-WY
NA,NA,NA,Change in Surface Water Storage-CO
NA,NA,NA,Tributary Inflow-UT
NA,NA,NA,Ground Water Outflow-CO
SCS TR21,Temperature Coefficient (Kt),Original Blaney-Criddle with ET Elevation Adjustment,Crop Consumptive Use-CO
National Oceanic and Atmospheric Administration Stations,Sum of Monthly Consumptive Use Factors for Growing Season (F),Original Blaney-Criddle with ET Elevation Adjustment,Crop Consumptive Use-CO
CO Agricultural Meteorology Network Station (COAGM),Sum of Monthly Consumptive Use Factors for Growing Season (F),Original Blaney-Criddle with ET Elevation Adjustment,Crop Consumptive Use-CO
SCS TR21,Crop Growth State Coefficient (Kc),Original Blaney-Criddle with ET Elevation Adjustment,Crop Consumptive Use-CO
