jL,cL,c,fsourceL,fsource,fsinkL,fsink,ftypeL,ftype,scL,sc,pscL,psc,exmL,exm
Bear River,Agricultural Consumptive Use,http://purl.org/iow/WaterBudgetingFramework/AgriculturalConsumptiveUse-WY,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/ZoneGroundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/Atmosphere,NA,NA,Evapotranspiration-CA,http://purl.org/iow/WaterBudgetingFramework/Evapotranspiration-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Agricultural Consumptive Use-WY,http://purl.org/iow/WaterBudgetingFramework/AgriculturalConsumptiveUse-WY
Bear River,Agricultural Consumptive Use,http://purl.org/iow/WaterBudgetingFramework/AgriculturalConsumptiveUse-WY,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/ZoneGroundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/Atmosphere,NA,NA,Evapotranspiration-CA,http://purl.org/iow/WaterBudgetingFramework/Evapotranspiration-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Agricultural Depletions-UT,http://purl.org/iow/WaterBudgetingFramework/AgriculturalDepletions-UT
Bear River,Agricultural Consumptive Use,http://purl.org/iow/WaterBudgetingFramework/AgriculturalConsumptiveUse-WY,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/ZoneGroundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/Atmosphere,NA,NA,Evapotranspiration-CA,http://purl.org/iow/WaterBudgetingFramework/Evapotranspiration-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Crop Consumptive Use-CO,http://purl.org/iow/WaterBudgetingFramework/CropConsumptiveUse-CO
Bear River,Agricultural Consumptive Use,http://purl.org/iow/WaterBudgetingFramework/AgriculturalConsumptiveUse-WY,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/ZoneGroundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/Atmosphere,NA,NA,Evapotranspiration-CA,http://purl.org/iow/WaterBudgetingFramework/Evapotranspiration-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Irrigated Agriculture Depletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgricultureDepletions-NMOSE
Bear River,Agricultural Consumptive Use,http://purl.org/iow/WaterBudgetingFramework/AgriculturalConsumptiveUse-WY,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/ZoneGroundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/Atmosphere,NA,NA,Irrigation Surface Water Diversions-WY,http://purl.org/iow/WaterBudgetingFramework/IrrigationSurfaceWaterDiversions-WY,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Agricultural Consumptive Use-WY,http://purl.org/iow/WaterBudgetingFramework/AgriculturalConsumptiveUse-WY
Bear River,Agricultural Consumptive Use,http://purl.org/iow/WaterBudgetingFramework/AgriculturalConsumptiveUse-WY,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/ZoneGroundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/Atmosphere,NA,NA,Irrigation Surface Water Diversions-WY,http://purl.org/iow/WaterBudgetingFramework/IrrigationSurfaceWaterDiversions-WY,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Agricultural Depletions-UT,http://purl.org/iow/WaterBudgetingFramework/AgriculturalDepletions-UT
Bear River,Agricultural Consumptive Use,http://purl.org/iow/WaterBudgetingFramework/AgriculturalConsumptiveUse-WY,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/ZoneGroundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/Atmosphere,NA,NA,Irrigation Surface Water Diversions-WY,http://purl.org/iow/WaterBudgetingFramework/IrrigationSurfaceWaterDiversions-WY,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Crop Consumptive Use-CO,http://purl.org/iow/WaterBudgetingFramework/CropConsumptiveUse-CO
Bear River,Agricultural Consumptive Use,http://purl.org/iow/WaterBudgetingFramework/AgriculturalConsumptiveUse-WY,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/ZoneGroundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/Atmosphere,NA,NA,Irrigation Surface Water Diversions-WY,http://purl.org/iow/WaterBudgetingFramework/IrrigationSurfaceWaterDiversions-WY,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Irrigated Agriculture Depletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgricultureDepletions-NMOSE
Bear River,Agricultural Consumptive Use,http://purl.org/iow/WaterBudgetingFramework/AgriculturalConsumptiveUse-WY,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/ZoneGroundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/Atmosphere,NA,NA,Surface Water Diversions-CA,http://purl.org/iow/WaterBudgetingFramework/SurfaceWaterDiversions-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Agricultural Consumptive Use-WY,http://purl.org/iow/WaterBudgetingFramework/AgriculturalConsumptiveUse-WY
Bear River,Agricultural Consumptive Use,http://purl.org/iow/WaterBudgetingFramework/AgriculturalConsumptiveUse-WY,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/ZoneGroundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/Atmosphere,NA,NA,Surface Water Diversions-CA,http://purl.org/iow/WaterBudgetingFramework/SurfaceWaterDiversions-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Agricultural Depletions-UT,http://purl.org/iow/WaterBudgetingFramework/AgriculturalDepletions-UT
