dsL,pL,emL,cL
PRISM,Unknown,California Central Valley Simulation (C2VSim),Groundwater Extraction-CA
Unknown,Unknown,Central Valley Hydrologic Model (CVHM),Groundwater Extraction-CA
Unknown,Operational Spill,Applied Water Estimation Method,Surface Water Diversions-CA
Cal-SIMETAW Unit Values,Unknown,Cal-SIMETAW Model,Evapotranspiration-CA
FAO 56 Chapter 6 Single Crop Coefficients (Kc),Crop Growth State Coefficient (Kc),Crop Coefficient Approach,Evapotranspiration-CA
Cal-SIMETAW Unit Values,Reference Crop ET (ETo),Crop Coefficient Approach,Evapotranspiration-CA
CA Irrigation Training and Research Center (ITRC) Evapotranspiration Data,Reference Crop ET (ETo),Crop Coefficient Approach,Evapotranspiration-CA
Unknown,Groundwater Extraction-CA,Applied Water Estimation Method,Surface Water Delivery-CA
Cal-SIMETAW Unit Values,Surface Water Diversions-CA,Mass Balance,Conveyance Evaporation-CA
California Central Valley Simulation (C2VSim),Surface Water Diversions-CA,Mass Balance,Conveyance Evaporation-CA
CALSIM2,Surface Water Diversions-CA,Mass Balance,Conveyance Evaporation-CA
California Agricultural Land and Water Use Estimates,Surface Water Diversions-CA,Mass Balance,Conveyance Evaporation-CA
California Water Plan Portfolio,Surface Water Diversions-CA,Mass Balance,Conveyance Evaporation-CA
CA Integrated Water Flow Model (IWFM),Surface Water Diversions-CA,Mass Balance,Conveyance Evaporation-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Surface Water Diversions-CA,Mass Balance,Conveyance Evaporation-CA
USBR Central Valley Project Refuge Water Delivery Data,Surface Water Diversions-CA,Mass Balance,Conveyance Evaporation-CA
CA DWR Bulletin 132: Management of the California State Water Project,Surface Water Diversions-CA,Mass Balance,Conveyance Evaporation-CA
Cal-SIMETAW Unit Values,Surface Water Delivery-CA,Mass Balance,Conveyance Evaporation-CA
California Central Valley Simulation (C2VSim),Surface Water Delivery-CA,Mass Balance,Conveyance Evaporation-CA
CALSIM2,Surface Water Delivery-CA,Mass Balance,Conveyance Evaporation-CA
California Agricultural Land and Water Use Estimates,Surface Water Delivery-CA,Mass Balance,Conveyance Evaporation-CA
California Water Plan Portfolio,Surface Water Delivery-CA,Mass Balance,Conveyance Evaporation-CA
CA Integrated Water Flow Model (IWFM),Surface Water Delivery-CA,Mass Balance,Conveyance Evaporation-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Surface Water Delivery-CA,Mass Balance,Conveyance Evaporation-CA
USBR Central Valley Project Refuge Water Delivery Data,Surface Water Delivery-CA,Mass Balance,Conveyance Evaporation-CA
CA DWR Bulletin 132: Management of the California State Water Project,Surface Water Delivery-CA,Mass Balance,Conveyance Evaporation-CA
Cal-SIMETAW Unit Values,Conveyance Seepage-CA,Mass Balance,Conveyance Evaporation-CA
California Central Valley Simulation (C2VSim),Conveyance Seepage-CA,Mass Balance,Conveyance Evaporation-CA
CALSIM2,Conveyance Seepage-CA,Mass Balance,Conveyance Evaporation-CA
California Agricultural Land and Water Use Estimates,Conveyance Seepage-CA,Mass Balance,Conveyance Evaporation-CA
California Water Plan Portfolio,Conveyance Seepage-CA,Mass Balance,Conveyance Evaporation-CA
CA Integrated Water Flow Model (IWFM),Conveyance Seepage-CA,Mass Balance,Conveyance Evaporation-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Conveyance Seepage-CA,Mass Balance,Conveyance Evaporation-CA
