jL,cL,fsourceL,fsinkL,ftypeL,scL,pscL,exmL
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Evapotranspiration-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Evapotranspiration-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Evapotranspiration-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Evapotranspiration-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Irrigation Surface Water Diversions-WY,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Irrigation Surface Water Diversions-WY,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Irrigation Surface Water Diversions-WY,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Irrigation Surface Water Diversions-WY,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Surface Water Diversions-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Surface Water Diversions-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Surface Water Diversions-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Surface Water Diversions-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Diversions-WY,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Diversions-WY,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Diversions-WY,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Diversions-WY,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Land System Outflow-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Land System Outflow-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Land System Outflow-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Land System Outflow-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Inflow-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Inflow-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Inflow-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Inflow-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Outflow-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Outflow-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Outflow-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Outflow-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Evapotranspiration-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Evapotranspiration-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Evapotranspiration-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Evapotranspiration-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Irrigation Surface Water Diversions-WY,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Irrigation Surface Water Diversions-WY,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Irrigation Surface Water Diversions-WY,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Irrigation Surface Water Diversions-WY,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Surface Water Diversions-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Surface Water Diversions-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Surface Water Diversions-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Surface Water Diversions-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Diversions-WY,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Diversions-WY,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Diversions-WY,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Diversions-WY,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Land System Outflow-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Land System Outflow-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Land System Outflow-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Land System Outflow-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Surface Water Inflow-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Surface Water Inflow-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Surface Water Inflow-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Surface Water Inflow-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Surface Water Outflow-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Surface Water Outflow-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Surface Water Outflow-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Surface Water Outflow-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Domestic Total Use,Zone Groundwater,Zone Land System,NA,Applied Water-CA,Public Water Supply-NMOSE,NA
Bear River,Domestic Total Use,Zone Groundwater,Zone Land System,NA,Total Land System Inflow-CA,Public Water Supply-NMOSE,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Groundwater Extraction-CA,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Industrial-NMOSE,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Industrial: Coalbed Methand Production-WY,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Industrial: Electrical Generation-WY,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Industrial: Mine Production-WY,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Industrial: Miscellaneous-WY,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Industrial: Oil and Gas-WY,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Mining-NMOSE,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Municipal and Industrial Consumptive Use-CO,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Municipal and Industrial Depeltion-UT,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Municipal and Industrial Diversions-UT,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Municipal and Industrial Return Flow-UT,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Power-NMOSE,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Applied Water-CA,Surface Water Delivery-CA,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Groundwater Extraction-CA,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Industrial-NMOSE,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Industrial: Coalbed Methand Production-WY,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Industrial: Electrical Generation-WY,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Industrial: Mine Production-WY,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Industrial: Miscellaneous-WY,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Industrial: Oil and Gas-WY,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Mining-NMOSE,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Municipal and Industrial Consumptive Use-CO,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Municipal and Industrial Depeltion-UT,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Municipal and Industrial Diversions-UT,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Municipal and Industrial Return Flow-UT,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Power-NMOSE,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Surface Water Delivery-CA,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Groundwater Extraction-CA,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Industrial-NMOSE,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Industrial: Coalbed Methand Production-WY,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Industrial: Electrical Generation-WY,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Industrial: Mine Production-WY,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Industrial: Miscellaneous-WY,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Industrial: Oil and Gas-WY,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Mining-NMOSE,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Municipal and Industrial Consumptive Use-CO,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Municipal and Industrial Depeltion-UT,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Municipal and Industrial Diversions-UT,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Municipal and Industrial Return Flow-UT,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Power-NMOSE,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Applied Water-CA,Surface Water Delivery-CA,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Groundwater Extraction-CA,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Industrial-NMOSE,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Industrial: Coalbed Methand Production-WY,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Industrial: Electrical Generation-WY,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Industrial: Mine Production-WY,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Industrial: Miscellaneous-WY,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Industrial: Oil and Gas-WY,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Mining-NMOSE,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Municipal and Industrial Consumptive Use-CO,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Municipal and Industrial Depeltion-UT,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Municipal and Industrial Diversions-UT,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Municipal and Industrial Return Flow-UT,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Power-NMOSE,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Surface Water Delivery-CA,NA
Bear River,Industrial: Natural Gas,Zone Groundwater,Atmosphere,NA,NA,Industrial Consumptive Use-WY,NA
Bear River,Industrial: Natural Gas,Zone Surface Water,Atmosphere,NA,NA,Industrial Consumptive Use-WY,NA
Bear River,Municipal Consumptive Use,Zone Groundwater,Atmosphere,NA,Applied Water-CA,Agricultural and Municipal Depletions-UT,NA
Bear River,Municipal Consumptive Use,Zone Groundwater,Atmosphere,NA,Applied Water-CA,Municipal and Industrial Depeltion-UT,NA
Bear River,Municipal Consumptive Use,Zone Groundwater,Atmosphere,NA,Applied Water-CA,Municipal and Industrial Diversions-UT,NA
Bear River,Municipal Consumptive Use,Zone Groundwater,Atmosphere,NA,Applied Water-CA,Public Water Supply-NMOSE,NA
Bear River,Municipal Consumptive Use,Zone Groundwater,Atmosphere,NA,Municipal and Industrial Consumptive Use-CO,Agricultural and Municipal Depletions-UT,NA
Bear River,Municipal Consumptive Use,Zone Groundwater,Atmosphere,NA,Municipal and Industrial Consumptive Use-CO,Municipal and Industrial Depeltion-UT,NA
Bear River,Municipal Consumptive Use,Zone Groundwater,Atmosphere,NA,Municipal and Industrial Consumptive Use-CO,Municipal and Industrial Diversions-UT,NA
Bear River,Municipal Consumptive Use,Zone Groundwater,Atmosphere,NA,Municipal and Industrial Consumptive Use-CO,Public Water Supply-NMOSE,NA
Bear River,Municipal Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Land System Inflow-CA,Agricultural and Municipal Depletions-UT,NA
Bear River,Municipal Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Land System Inflow-CA,Municipal and Industrial Depeltion-UT,NA
Bear River,Municipal Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Land System Inflow-CA,Municipal and Industrial Diversions-UT,NA
Bear River,Municipal Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Land System Inflow-CA,Public Water Supply-NMOSE,NA
Bear River,Municipal Consumptive Use,Zone Surface Water,Atmosphere,NA,Applied Water-CA,Agricultural and Municipal Depletions-UT,NA
Bear River,Municipal Consumptive Use,Zone Surface Water,Atmosphere,NA,Applied Water-CA,Municipal and Industrial Depeltion-UT,NA
Bear River,Municipal Consumptive Use,Zone Surface Water,Atmosphere,NA,Applied Water-CA,Municipal and Industrial Diversions-UT,NA
Bear River,Municipal Consumptive Use,Zone Surface Water,Atmosphere,NA,Applied Water-CA,Public Water Supply-NMOSE,NA
Bear River,Municipal Consumptive Use,Zone Surface Water,Atmosphere,NA,Municipal and Industrial Consumptive Use-CO,Agricultural and Municipal Depletions-UT,NA
Bear River,Municipal Consumptive Use,Zone Surface Water,Atmosphere,NA,Municipal and Industrial Consumptive Use-CO,Municipal and Industrial Depeltion-UT,NA
Bear River,Municipal Consumptive Use,Zone Surface Water,Atmosphere,NA,Municipal and Industrial Consumptive Use-CO,Municipal and Industrial Diversions-UT,NA
Bear River,Municipal Consumptive Use,Zone Surface Water,Atmosphere,NA,Municipal and Industrial Consumptive Use-CO,Public Water Supply-NMOSE,NA
Bear River,Municipal Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Land System Inflow-CA,Agricultural and Municipal Depletions-UT,NA
Bear River,Municipal Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Land System Inflow-CA,Municipal and Industrial Depeltion-UT,NA
Bear River,Municipal Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Land System Inflow-CA,Municipal and Industrial Diversions-UT,NA
Bear River,Municipal Consumptive Use,Zone Surface Water,Atmosphere,NA,Total Land System Inflow-CA,Public Water Supply-NMOSE,NA
CA,Agricultural Applied Water,NA,NA,NA,Applied Water-CA,NA,NA
CA,Agricultural Applied Water,NA,NA,NA,Total Land System Inflow-CA,NA,NA
CA,Applied Water,Zone Land System,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Agricultural Consumptive Use-WY,NA
CA,Applied Water,Zone Land System,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Agricultural Depletions-UT,NA
CA,Applied Water,Zone Land System,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Commercial-NMOSE,NA
CA,Applied Water,Zone Land System,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Industrial-NMOSE,NA
CA,Applied Water,Zone Land System,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Irrigated Agriculture Depletions-NMOSE,NA
CA,Applied Water,Zone Land System,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Livestock-NMOSE,NA
CA,Applied Water,Zone Land System,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Livestock Consumptive Use-CO,NA
CA,Applied Water,Zone Land System,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Mining-NMOSE,NA
CA,Applied Water,Zone Land System,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Municipal and Industrial Consumptive Use-CO,NA
CA,Applied Water,Zone Land System,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Municipal and Industrial Depeltion-UT,NA
CA,Applied Water,Zone Land System,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Municipal and Industrial Diversions-UT,NA
CA,Applied Water,Zone Land System,Zone Land System,Internal Transfer,Total Land System Inflow-CA,Power-NMOSE,NA
CA,Applied Water Reuse/Recycled Water,Zone Land System,Zone Land System,Internal Transfer,Applied Water-CA,NA,NA
CA,Applied Water Reuse/Recycled Water,Zone Land System,Zone Land System,Internal Transfer,Total Land System Inflow-CA,NA,NA
CA,Change in Groundwater Storage,NA,NA,Storage Change,Change in Total System Storage-CA,NA,Change in Ground Water Storage-CO
CA,Change in Groundwater Storage,NA,NA,Storage Change,Change in Total System Storage-CA,NA,Change in Groundwater Storage-CA
CA,Change in Land System Storage,NA,NA,Storage Change,Change in Total System Storage-CA,NA,NA
CA,Change in Surface Water Storage,NA,NA,Storage Change,Change in Total System Storage-CA,NA,Change in Surface Water Storage-CA
CA,Change in Surface Water Storage,NA,NA,Storage Change,Change in Total System Storage-CA,NA,Change in Surface Water Storage-CO
CA,Change in Total System Storage,NA,NA,Storage Change,NA,NA,NA
CA,Conveyance Evaporation,Zone Surface Water,Atmosphere,Outflow,Human Consumption-NM,NA,NA
CA,Conveyance Evaporation,Zone Surface Water,Atmosphere,Outflow,Total Surface Water Outflow-CA,NA,NA
CA,Conveyance Seepage,Zone Surface Water,Zone Groundwater,Internal Transfer,Total Groundwater System Inflow-CA,NA,NA
CA,Conveyance Seepage,Zone Surface Water,Zone Groundwater,Internal Transfer,Total Surface Water Outflow-CA,NA,NA
CA,Evapotranspiration,Zone Land System,Atmosphere,Outflow,Total Land System Outflow-CA,NA,Evapotranspiration-CA
CA,Evapotranspiration,Zone Land System,Atmosphere,Outflow,Total Land System Outflow-CA,NA,Native Vegetation Consumptive Use-CO
CA,Evapotranspiration,Zone Land System,Atmosphere,Outflow,Total Land System Outflow-CA,NA,Natural System Use-UT
CA,Groundwater Export,Zone Groundwater,External Groundwater,Outflow,Total Groundwater System Outflow-CA,Exports-CO,NA
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Agricultural and Municipal Depletions-UT,Groundwater Extraction-CA
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Agricultural and Municipal Depletions-UT,Groundwater Use-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Agricultural and Municipal Depletions-UT,Pumped Groundwater-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Agricultural and Municipal Diversions-UT,Groundwater Extraction-CA
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Agricultural and Municipal Diversions-UT,Groundwater Use-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Agricultural and Municipal Diversions-UT,Pumped Groundwater-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Industrial Consumptive Use-WY,Groundwater Extraction-CA
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Industrial Consumptive Use-WY,Groundwater Use-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Industrial Consumptive Use-WY,Pumped Groundwater-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Industrial Total Use-WY,Groundwater Extraction-CA
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Industrial Total Use-WY,Groundwater Use-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Industrial Total Use-WY,Pumped Groundwater-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Irrigated Agriculture Diversions-NMOSE,Groundwater Extraction-CA
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Irrigated Agriculture Diversions-NMOSE,Groundwater Use-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Irrigated Agriculture Diversions-NMOSE,Pumped Groundwater-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Livestock-NMOSE,Groundwater Extraction-CA
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Livestock-NMOSE,Groundwater Use-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Livestock-NMOSE,Pumped Groundwater-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Livestock Consumptive Use-CO,Groundwater Extraction-CA
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Livestock Consumptive Use-CO,Groundwater Use-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Livestock Consumptive Use-CO,Pumped Groundwater-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Mining-NMOSE,Groundwater Extraction-CA
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Mining-NMOSE,Groundwater Use-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Mining-NMOSE,Pumped Groundwater-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Municipal and Industrial Consumptive Use-CO,Groundwater Extraction-CA
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Municipal and Industrial Consumptive Use-CO,Groundwater Use-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Municipal and Industrial Consumptive Use-CO,Pumped Groundwater-UT
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Municipal and Industrial Depeltion-UT,Groundwater Extraction-CA
CA,Groundwater Extraction,Zone Groundwater,Zone Land System,Internal Transfer,Total Groundwater System Outflow-CA,Municipal and Industrial Depeltion-UT,Groundwater Use-UT
