state_cL,ftype_cL,fsource_cL,fsink_cL,cL,scL,state_scL,ftype_scL,fsource_scL,fsink_scL,c,sc,empty
NM,Outflow,Zone Groundwater,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Irrigated Agriculture-NMOSE,NM,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgriculture-NMOSE,NA
NM,Outflow,Zone Surface Water,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Irrigated Agriculture-NMOSE,NM,Internal Transfer,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgriculture-NMOSE,NA
NM,Outflow,Zone Groundwater,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Irrigated Agriculture-NMOSE,NM,Internal Transfer,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgriculture-NMOSE,NA
WY,NA,Zone Groundwater,Zone Land System,Domestic Total Use-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#DomesticTotalUse-WY,NA,NA
CA,Internal Transfer,Zone Surface Water,Zone Groundwater,Conveyance Seepage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ConveyanceSeepage-CA,NA,NA
CA,Internal Transfer,Zone Land System,Zone Groundwater,Recharge of Applied Water-CA,Recharge-NM,NM,Internal Transfer,Zone Land System,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#RechargeOfAppliedWater-CA,http://purl.org/iow/WaterBudgetingFramework#Recharge-NM,NA
CA,Storage Change,NA,NA,Change in Surface Water Storage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ChangeInSurfaceWaterStorage-CA,NA,NA
WY,Internal Transfer,Zone Surface Water,Zone Land System,Industrial: Mine Production-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Industrial%3AMineProduction-WY,NA,NA
WY,Internal Transfer,Zone Groundwater,Zone Land System,Industrial: Mine Production-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Industrial%3AMineProduction-WY,NA,NA
CA,NA,NA,NA,Total Outflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#TotalOutflow-CA,NA,NA
