"state","name","key","imports"
"UT","Basin Outflow-UT","Basin Outflow-UT","Gaged Surface Water Outflow-CO"
"UT","Cropland Precipitation-UT","Cropland Precipitation-UT",
"UT","Natural System Use-UT","Natural System Use-UT","Riparian Depletions-UT"
"UT","Precipitation-UT","Precipitation-UT","Cropland Precipitation-UT"
"UT","Riparian Depletions-UT","Riparian Depletions-UT",
"UT","River Inflow-UT","River Inflow-UT","Gaged Surface Water Inflow-CO,Ungaged Surface Water Inflow-CO"
"UT","River Use By Wet Pasture-UT","River Use By Wet Pasture-UT",
"UT","Tributary Inflow-UT","Tributary Inflow-UT",
"WY","Municipal and Domestic Depletions-WY","Municipal and Domestic Depletions-WY",
"WY","Municipal and Domestic Use-WY","Municipal and Domestic Use-WY","Municipal and Domestic Depletions-WY"
